clip_name,label,index
train1,0,0
train2,0,1
train3,0,2
train4,0,3
train5,0,4
train6,1,5
train7,1,6
train8,0,7
train9,1,8
train10,0,9
train11,0,10
train12,1,11
train13,0,12
train14,0,13
train15,0,14
train16,0,15
train17,0,16
train18,0,17
train19,0,18
train20,0,19
train21,0,20
train22,0,21
train23,0,22
train24,0,23
train25,0,24
train26,0,25
train27,0,26
train28,1,27
train29,0,28
train30,0,29
train31,1,30
train32,1,31
train33,0,32
train34,0,33
train35,0,34
train36,0,35
train37,0,36
train38,0,37
train39,0,38
train40,0,39
train41,0,40
train42,0,41
train43,0,42
train44,0,43
train45,0,44
train46,0,45
train47,0,46
train48,0,47
train49,0,48
train50,0,49
train51,0,50
train52,0,51
train53,0,52
train54,0,53
train55,1,54
train56,0,55
train57,0,56
train58,0,57
train59,0,58
train60,0,59
train61,0,60
train62,0,61
train63,0,62
train64,1,63
train65,0,64
train66,0,65
train67,0,66
train68,0,67
train69,0,68
train70,0,69
train71,0,70
train72,0,71
train73,1,72
train74,1,73
train75,1,74
train76,0,75
train77,1,76
train78,1,77
train79,1,78
train80,1,79
train81,1,80
train82,1,81
train83,0,82
train84,1,83
train85,0,84
train86,0,85
train87,0,86
train88,0,87
train89,0,88
train90,0,89
train91,0,90
train92,0,91
train93,0,92
train94,0,93
train95,0,94
train96,0,95
train97,0,96
train98,0,97
train99,0,98
train100,0,99
train101,0,100
train102,0,101
train103,0,102
train104,0,103
train105,0,104
train106,0,105
train107,0,106
train108,0,107
train109,0,108
train110,0,109
train111,0,110
train112,0,111
train113,0,112
train114,0,113
train115,0,114
train116,0,115
train117,0,116
train118,0,117
train119,0,118
train120,0,119
train121,0,120
train122,0,121
train123,0,122
train124,0,123
train125,0,124
train126,0,125
train127,0,126
train128,0,127
train129,0,128
train130,0,129
train131,0,130
train132,0,131
train133,1,132
train134,0,133
train135,0,134
train136,0,135
train137,0,136
train138,0,137
train139,0,138
train140,0,139
train141,0,140
train142,0,141
train143,0,142
train144,0,143
train145,0,144
train146,0,145
train147,0,146
train148,0,147
train149,0,148
train150,0,149
train151,0,150
train152,0,151
train153,0,152
